uid,type_id,type_label,type_score,year,primary_domain
doi:10.1128/spectrum.00627-26,genomics,Genomics,4,2026,tb
doi:10.1371/journal.pntd.0014584,surveillance_epidemiology,Surveillance and epidemiology,16,2026,vector_borne
doi:10.1371/journal.pntd.0014584,transmission,Transmission,3,2026,vector_borne
doi:10.3390/ijms27031504,basic_research,Basic research,4,2026,vector_borne
doi:10.1186/s12889-026-26979-0,genomics,Genomics,20,2026,tb
doi:10.1186/s12889-026-26979-0,surveillance_epidemiology,Surveillance and epidemiology,6,2026,tb
doi:10.1186/s12889-026-26979-0,transmission,Transmission,3,2026,tb
doi:10.1016/j.avsg.2025.12.042,treatment,Treatment,8,2026,amr_hai
doi:10.1016/j.avsg.2025.12.042,surveillance_epidemiology,Surveillance and epidemiology,4,2026,amr_hai
doi:10.1001/jamanetworkopen.2026.28389,vaccine,Vaccine,11,2026,rti
doi:10.1001/jamanetworkopen.2026.28389,clinical_studies,Clinical studies,8,2026,rti
doi:10.1038/s41598-026-64190-8,vaccine,Vaccine,14,2026,rti
doi:10.1038/s41598-026-64190-8,immunology,Immunology,7,2026,rti
doi:10.1186/s12348-026-00586-x,case_study,Case study,10,2026,tb
doi:10.1186/s12942-026-00467-5,genomics,Genomics,20,2026,tb
doi:10.1186/s12942-026-00467-5,outbreak_management,Outbreak management,4,2026,tb
doi:10.1186/s12942-026-00467-5,surveillance_epidemiology,Surveillance and epidemiology,4,2026,tb
doi:10.5588/ijtldopen.26.0076,surveillance_epidemiology,Surveillance and epidemiology,4,2026,tb
doi:10.3390/pathogens15040378,genomics,Genomics,23,2026,vector_borne
doi:10.3390/pathogens15040378,entomology,Entomology,4,2026,vector_borne
doi:10.1080/07853890.2026.2714685,outbreak_management,Outbreak management,12,2026,tb
doi:10.1080/07853890.2026.2714685,surveillance_epidemiology,Surveillance and epidemiology,4,2026,tb
doi:10.64898/2026.03.19.26348865,virology,Virology,4,2026,sti
doi:10.1016/j.ejogrb.2026.115359,disease_management,Disease management,3,2026,sti
doi:10.1128/aac.00748-26,clinical_studies,Clinical studies,3,2026,tb
doi:10.1186/s12929-026-01277-4,immunology,Immunology,6,2026,rti
doi:10.1186/s12929-026-01277-4,treatment,Treatment,3,2026,rti
doi:10.1371/journal.pntd.0014395,entomology,Entomology,16,2026,vector_borne
doi:10.1371/journal.pntd.0014395,surveillance_epidemiology,Surveillance and epidemiology,3,2026,vector_borne
doi:10.1128/mbio.01075-26,basic_research,Basic research,9,2026,rti
doi:10.1080/10810730.2026.2687792,vaccine,Vaccine,4,2026,vector_borne
doi:10.3390/vaccines14060469,vaccine,Vaccine,7,2026,rti
doi:10.1177/08903344261475018,surveillance_epidemiology,Surveillance and epidemiology,3,2026,rti
doi:10.3390/ijms27167316,virology,Virology,6,2026,rti
doi:10.3390/ijms27167316,treatment,Treatment,4,2026,rti
doi:10.1016/j.jep.2026.122318,basic_research,Basic research,3,2026,other_id
doi:10.2196/88849,surveillance_epidemiology,Surveillance and epidemiology,4,2026,rti
doi:10.1093/epirev/mxag011,surveillance_epidemiology,Surveillance and epidemiology,3,2026,other_id
doi:10.1093/epirev/mxag011,transmission,Transmission,3,2026,other_id
doi:10.1080/21645515.2026.2661118,vaccine,Vaccine,20,2026,rti
doi:10.1186/s12889-026-26538-7,clinical_studies,Clinical studies,4,2026,sti
doi:10.1016/j.idh.2026.100423,surveillance_epidemiology,Surveillance and epidemiology,7,2026,amr_hai
doi:10.1016/j.idh.2026.100423,clinical_studies,Clinical studies,3,2026,amr_hai
doi:10.1016/j.idh.2026.100423,infection_prevention_control,Infection prevention and control,3,2026,amr_hai
doi:10.1016/s0140-6736(26)00410-1,modelling,Modelling,4,2026,sti
doi:10.1016/s0140-6736(26)00410-1,surveillance_epidemiology,Surveillance and epidemiology,4,2026,sti
doi:10.1016/s0140-6736(26)00410-1,vaccine,Vaccine,4,2026,sti
doi:10.1021/acsinfecdis.6c00114,entomology,Entomology,12,2026,vector_borne
